"study","varName","varDet_original","varDet_recoded","varDet_recoded2","varDet_targetObject","varDet_direction","varDet_targetBehavior","varDet_contrastBehavior","varDescription"
"Adeyiga 2014.r","Alcohol affects the unborn child","knowledge","risk perception","riskperception","other","negative","A","MD","Can maternal alcohol consumption affect the unborn child? (tabel 4 page 157)"
"Adeyiga 2014.r","Is the baby different","knowledge","risk perception","riskperception","other","negative","AM","D","Is a baby born to a woman who drinks alcohol regularly different from any other baby?(tabel 4 page 157)"
"Adeyiga 2014.r","Alcohol has an effect on low birth weight","knowledge","risk perception","riskperception","other","negative","A","MD","Effects of maternal alcohol consumption known to respondents(tabel 4 page 157)"
"Adeyiga 2014.r","Alcohol has an effect on mental retardation","knowledge","risk perception","riskperception","other","negative","A","MD","Effects of maternal alcohol consumption known to respondents(tabel 4 page 157)"
"Adeyiga 2014.r","Alcohol has an effect on FAS","knowledge","risk perception","riskperception","other","negative","A","MD","Effects of maternal alcohol consumption known to respondents(tabel 4 page 157)"
"Adeyiga 2014.r","Alcohol has an effect on low intelligence quotient","knowledge","risk perception","riskperception","other","negative","A","MD","Effects of maternal alcohol consumption known to respondents(tabel 4 page 157)"
"Adeyiga 2014.r","Alcohol has an effect on delayed development","knowledge","risk perception","riskperception","other","negative","A","MD","Effects of maternal alcohol consumption known to respondents(tabel 4 page 157)"
"Adeyiga 2014.r","Alcohol has an effect on learning disabilities","knowledge","risk perception","riskperception","other","negative","A","MD","Effects of maternal alcohol consumption known to respondents(tabel 4 page 157)"
"Adeyiga 2014.r","Alcohol has an effect on behavioural problems","knowledge","risk perception","riskperception","other","negative","A","MD","Effects of maternal alcohol consumption known to respondents(tabel 4 page 157)"
"Adeyiga 2014.r","Alcohol has an effect on attention deficit","knowledge","risk perception","riskperception","other","negative","A","MD","Effects of maternal alcohol consumption known to respondents(tabel 4 page 157)"
"Adeyiga 2014.r","Knowledge about effects on baby or child","knowledge","risk perception","riskperception","other","","","","Knowledge status regarding the effects of alcohol on the baby or child (p.157 table 4)"
"Adeyiga 2014.r","Knowledge about effects","knowledge","risk perception","riskperception","other","","","","Knew about effects of alcohol on health(table 3 page 157)"
